,Date,Pitcher,IP,Hits,ER,Walks,Strike Outs,W,L,Saves,Holds,Points
625,JUNE 27,Carlos Estevez,1.0,4,1,0,1,0,0,1,0,3.0
629,JUNE 27,Bryan Woo,5.0,6,1,1,7,0,0,0,0,13.0
632,JUNE 28,Zach Eflin,7.0,7,2,0,7,0,0,0,0,17.0
637,JUNE 29,Emmanuel Clase,0.1,2,1,0,1,0,1,0,0,-4.0
642,JUNE 29,Jesus Luzardo,6.1,3,0,1,9,0,0,0,0,24.0
643,JUNE 29,Patrick Sandoval,5.0,8,7,2,8,0,1,0,0,-3.0
650,JUNE 30,Freddy Peralta,5.1,3,3,2,8,0,0,0,0,13.0
652,JULY 1,Jhoan Duran,1.0,1,0,0,0,0,0,1,0,7.0
655,JULY 1,Eury Perez,0.1,7,6,0,0,0,1,0,0,-20.0
656,JULY 1,Yusei Kikuchi,4.1,7,5,2,7,0,1,0,0,-1.0
657,JULY 1,Corbin Burnes,7.0,1,2,2,7,1,0,0,0,23.0
658,JULY 2,Spencer Strider,6.2,6,2,1,9,1,0,0,0,20.0
659,JULY 2,Emmanuel Clase,1.0,3,4,1,0,0,0,0,0,-9.0
660,JULY 2,Jhoan Duran,0.2,3,2,1,1,0,1,0,0,-7.0
662,JULY 2,Carlos Estevez,1.0,1,0,0,1,0,0,1,0,8.0
664,JULY 2,Tony Gonsolin,3.2,6,4,3,3,0,1,0,0,-5.0
673,JULY 4,Emmanuel Clase,1.0,1,1,0,1,0,0,0,0,1.0
675,JULY 4,Zach Eflin,7.0,4,2,0,9,0,1,0,0,20.0
677,JULY 4,Jesus Luzardo,6.0,5,0,2,8,1,0,0,0,21.0
684,JULY 5,Bobby Miller,5.2,5,4,1,7,1,0,0,0,12.0
685,JULY 5,J.P. France,6.0,6,3,1,4,1,0,0,0,11.0
690,JULY 6,Eury Perez,6.0,3,1,2,7,0,1,0,0,16.0
691,JULY 6,Yusei Kikuchi,5.0,8,4,0,4,0,0,0,0,3.0
692,JULY 6,Tanner Bibee,5.0,4,1,4,4,0,0,0,0,9.0
694,JULY 7,Emmanuel Clase,1.0,0,0,1,0,0,0,1,0,7.0
695,JULY 7,Jhoan Duran,1.2,1,1,0,2,0,1,0,0,2.0
700,JULY 8,Spencer Strider,6.1,4,0,1,11,1,0,0,0,27.0
701,JULY 8,Emmanuel Clase,1.0,0,0,0,1,0,0,0,0,4.0
703,JULY 8,Carlos Estevez,1.0,0,0,2,1,0,0,0,0,2.0
709,JULY 9,Zach Eflin,5.0,4,2,0,5,1,0,0,0,14.0
711,JULY 9,Jesus Luzardo,6.1,4,2,1,9,1,0,0,0,21.0
743,JULY 14,Jhoan Duran,1.0,2,1,0,0,0,0,1,0,4.0
748,JULY 14,Kenta Maeda,3.0,4,3,4,6,0,0,0,0,1.0
750,JULY 15,Jhoan Duran,1.0,0,0,0,2,0,0,1,0,10.0
752,JULY 15,Carlos Estevez,1.0,0,0,1,1,1,0,0,0,5.0
755,JULY 15,Tony Gonsolin,5.0,2,1,1,3,0,0,0,0,13.0
757,JULY 16,Jhoan Duran,1.0,1,0,0,0,0,0,1,0,7.0
